#r[kpc] vr[km/s]
0.00 0.00
0.05 1.00
0.10 2.00
0.15 3.00
0.20 4.00
0.25 5.00
0.30 6.00
0.35 7.00
0.40 8.00
0.45 9.00
0.50 10.00
0.55 10.00
0.60 10.00
0.65 10.00
0.70 10.00
0.75 10.00
0.80 10.00
0.85 10.00
0.90 10.00
0.95 10.00
1.00 10.00
1.05 10.00
1.10 10.00
1.15 10.00
1.20 10.00
1.25 10.00
1.30 10.00
1.35 10.00
1.40 10.00
1.45 10.00
1.50 10.00
1.55 10.00
1.60 10.00
1.65 10.00
1.70 10.00
1.75 10.00
1.80 10.00
1.85 10.00
1.90 10.00
1.95 10.00
2.00 10.00
2.05 10.00
2.10 10.00
2.15 10.00
2.20 10.00
2.25 10.00
2.30 10.00
2.35 10.00
2.40 10.00
2.45 10.00
