#r[kpc] Tmas[Msol/pc^2]
0.00 17.33
0.05 15.33
0.10 13.64
0.15 12.45
0.20 11.57
0.25 10.83
0.30 10.32
0.35 9.84
0.40 9.23
0.45 8.63
0.50 7.88
0.55 7.10
0.60 6.33
0.65 5.59
0.70 4.85
0.75 4.17
0.80 3.57
0.85 3.00
0.90 2.51
0.95 2.12
1.00 1.78
1.05 1.48
1.10 1.27
1.15 1.07
1.20 0.91
1.25 0.78
1.30 0.66
1.35 0.55
1.40 0.46
1.45 0.40
1.50 0.34
1.55 0.28
1.60 0.22
1.65 0.19
1.70 0.16
1.75 0.13
1.80 0.13
1.85 0.13
1.90 0.13
1.95 0.13
2.00 0.13
2.05 0.13
2.10 0.13
2.15 0.13
2.20 0.13
2.25 0.13
2.30 0.13
2.35 0.13
2.40 0.13
2.45 0.13
