# r    Tgas 
  0.0  690.0
  0.1  620.0
  0.2  560.0
  0.3  508.0
  0.4  462.0
  0.5  422.0
  0.6  387.0
  0.7  355.0
  0.8  327.0
  0.9  302.0
  1.0  280.0
  1.1  259.0
  1.2  241.0
  1.3  224.0
  1.4  209.0
  1.5  195.0
  1.6  182.0
  1.7  171.0
  1.8  160.0
  1.9  150.0
  2.0  141.0
  2.1  133.0
  2.2  125.0
  2.3  118.0
  2.4  111.0
  2.5  105.0
  2.6  98.7 
  2.7  93.2 
  2.8  88.0 
  2.9  83.1 
  3.0  78.6 
  3.1  74.3 
  3.2  70.3 
  3.3  66.5 
  3.4  63.1 
  3.5  59.8 
  3.6  56.8 
  3.7  54.0 
  3.8  51.4 
  3.9  48.9 
  4.0  46.7 
  4.1  44.5 
  4.2  42.6 
  4.3  40.7 
  4.4  39.0 
  4.5  37.4 
  4.6  35.9 
  4.7  34.6 
  4.8  33.3 
  4.9  32.0 
  5.0  30.9 
  5.1  29.8 
  5.2  28.7 
  5.3  27.7 
  5.4  26.7 
  5.5  25.8 
  5.6  24.9 
  5.7  24.1 
  5.8  23.3 
  5.9  22.5 
  6.0  21.8 
  6.1  21.0 
  6.2  20.4 
  6.3  19.7 
  6.4  19.1 
  6.5  18.5 
  6.6  17.9 
  6.7  17.3 
  6.8  16.7 
  6.9  16.2 
  7.0  15.6 
  7.1  15.1 
  7.2  14.6 
  7.3  14.1 
  7.4  13.6 
  7.5  13.1 
  7.6  12.6 
  7.7  12.0 
  7.8  11.5 
  7.9  11.0 
  8.0  10.5 
  8.1  9.93 
  8.2  9.42 
  8.3  8.95 
  8.4  8.52 
  8.5  8.15 
  8.6  7.82 
  8.7  7.55 
  8.8  7.3  
  8.9  7.07 
  9.0  6.86 
  9.1  6.63 
  9.2  6.39 
  9.3  6.14 
  9.4  5.89 
  9.5  5.63 
  9.6  5.37 
  9.7  5.12 
  9.8  4.87 
  9.9  4.64 
  10.0 4.43 
  10.1 4.23 
  10.2 4.04 
  10.3 3.86 
  10.4 3.69 
  10.5 3.53 
  10.6 3.39 
  10.7 3.25 
  10.8 3.12 
  10.9 2.99 
  11.0 2.88 
  11.1 2.77 
  11.2 2.66 
  11.3 2.57 
  11.4 2.47 
  11.5 2.39 
  11.6 2.31 
  11.7 2.23 
  11.8 2.16 
  11.9 2.09 
