 time   Mgal      M*       MWD     MBHNS    Msub     Mgas     Zgas   <Z*>mass <Z*>Lbol
    1 .100E+01 .100E+01 .000E+00 .000E+00 .000E+00 .000E+00 .000E+00 .400E-02 .400E-02
    5 .100E+01 .987E+00 .000E+00 .769E-03 .000E+00 .124E-01 .274E+00 .400E-02 .400E-02
   10 .100E+01 .967E+00 .000E+00 .186E-02 .000E+00 .308E-01 .233E+00 .400E-02 .400E-02
   15 .100E+01 .956E+00 .000E+00 .296E-02 .000E+00 .413E-01 .204E+00 .400E-02 .400E-02
   20 .100E+01 .948E+00 .000E+00 .380E-02 .000E+00 .486E-01 .184E+00 .400E-02 .400E-02
   25 .100E+01 .941E+00 .000E+00 .455E-02 .000E+00 .544E-01 .170E+00 .400E-02 .400E-02
   30 .100E+01 .935E+00 .000E+00 .525E-02 .000E+00 .593E-01 .160E+00 .400E-02 .400E-02
   35 .100E+01 .930E+00 .000E+00 .594E-02 .000E+00 .636E-01 .152E+00 .400E-02 .400E-02
   40 .100E+01 .926E+00 .000E+00 .657E-02 .000E+00 .673E-01 .147E+00 .400E-02 .400E-02
   45 .100E+01 .922E+00 .000E+00 .719E-02 .000E+00 .706E-01 .142E+00 .400E-02 .400E-02
   50 .100E+01 .918E+00 .000E+00 .780E-02 .000E+00 .737E-01 .138E+00 .400E-02 .400E-02
   55 .100E+01 .915E+00 .000E+00 .841E-02 .000E+00 .766E-01 .135E+00 .400E-02 .400E-02
   60 .100E+01 .912E+00 .000E+00 .898E-02 .000E+00 .791E-01 .132E+00 .400E-02 .400E-02
   65 .100E+01 .909E+00 .000E+00 .954E-02 .000E+00 .814E-01 .130E+00 .400E-02 .400E-02
   70 .100E+01 .906E+00 .000E+00 .101E-01 .000E+00 .836E-01 .127E+00 .400E-02 .400E-02
   75 .100E+01 .904E+00 .000E+00 .106E-01 .000E+00 .857E-01 .125E+00 .400E-02 .400E-02
   80 .100E+01 .901E+00 .401E-03 .107E-01 .000E+00 .876E-01 .124E+00 .400E-02 .400E-02
   85 .100E+01 .899E+00 .890E-03 .107E-01 .000E+00 .894E-01 .122E+00 .400E-02 .400E-02
   90 .100E+01 .897E+00 .136E-02 .107E-01 .000E+00 .911E-01 .120E+00 .400E-02 .400E-02
   95 .100E+01 .895E+00 .181E-02 .107E-01 .000E+00 .928E-01 .118E+00 .400E-02 .400E-02
  100 .100E+01 .893E+00 .225E-02 .107E-01 .000E+00 .944E-01 .117E+00 .400E-02 .400E-02
  105 .100E+01 .891E+00 .267E-02 .107E-01 .000E+00 .960E-01 .115E+00 .400E-02 .400E-02
  110 .100E+01 .889E+00 .308E-02 .107E-01 .000E+00 .975E-01 .114E+00 .400E-02 .400E-02
  115 .100E+01 .887E+00 .346E-02 .107E-01 .000E+00 .989E-01 .112E+00 .400E-02 .400E-02
  120 .100E+01 .885E+00 .383E-02 .107E-01 .000E+00 .100E+00 .111E+00 .400E-02 .400E-02
  125 .100E+01 .883E+00 .418E-02 .107E-01 .000E+00 .102E+00 .110E+00 .400E-02 .400E-02
  130 .100E+01 .882E+00 .453E-02 .107E-01 .000E+00 .103E+00 .108E+00 .400E-02 .400E-02
  135 .100E+01 .880E+00 .488E-02 .107E-01 .000E+00 .104E+00 .107E+00 .400E-02 .400E-02
  140 .100E+01 .879E+00 .521E-02 .107E-01 .000E+00 .105E+00 .106E+00 .400E-02 .400E-02
  145 .100E+01 .877E+00 .554E-02 .107E-01 .000E+00 .106E+00 .105E+00 .400E-02 .400E-02
  150 .100E+01 .876E+00 .587E-02 .107E-01 .000E+00 .108E+00 .104E+00 .400E-02 .400E-02
  155 .100E+01 .874E+00 .619E-02 .107E-01 .000E+00 .109E+00 .103E+00 .400E-02 .400E-02
  160 .100E+01 .873E+00 .651E-02 .107E-01 .000E+00 .110E+00 .102E+00 .400E-02 .400E-02
  165 .100E+01 .872E+00 .682E-02 .107E-01 .000E+00 .111E+00 .102E+00 .400E-02 .400E-02
  170 .100E+01 .870E+00 .712E-02 .107E-01 .000E+00 .112E+00 .101E+00 .400E-02 .400E-02
  175 .100E+01 .869E+00 .743E-02 .107E-01 .000E+00 .113E+00 .100E+00 .400E-02 .400E-02
  180 .100E+01 .868E+00 .773E-02 .107E-01 .000E+00 .114E+00 .993E-01 .400E-02 .400E-02
  185 .100E+01 .866E+00 .802E-02 .107E-01 .000E+00 .115E+00 .986E-01 .400E-02 .400E-02
